STAT_VAR,STAT_PRES,SEX,AGE,CCYY,H,OBS_VALUE,SD_VALUE
POP,Prop_1dp_%_n,M,15,2022,2,0.4,
POP,Prop_1dp_%_n,M,16,2000,2,0.7,
POP,Prop_1dp_%_n,M,16,2001,2,0.7,
POP,Prop_1dp_%_n,M,16,2002,2,0.6,
POP,Prop_1dp_%_n,M,16,2003,2,0.6,
POP,Prop_1dp_%_n,M,16,2004,2,0.7,
POP,Prop_1dp_%_n,M,16,2005,2,0.6,
POP,Prop_1dp_%_n,M,16,2006,2,0.7,
POP,Prop_1dp_%_n,M,16,2007,2,0.6,
POP,Prop_1dp_%_n,M,16,2008,2,0.6,
POP,Prop_1dp_%_n,M,16,2009,2,0.6,
POP,Prop_1dp_%_n,M,16,2010,2,0.6,
POP,Prop_1dp_%_n,M,16,2011,2,0.6,
POP,Prop_1dp_%_n,M,16,2012,2,0.6,
POP,Prop_1dp_%_n,M,16,2013,2,0.5,
POP,Prop_1dp_%_n,M,16,2014,2,0.5,
POP,Prop_1dp_%_n,M,16,2015,2,0.4,
POP,Prop_1dp_%_n,M,16,2016,2,0.4,
POP,Prop_1dp_%_n,M,16,2017,2,0.3,
POP,Prop_1dp_%_n,M,16,2018,2,0.4,
POP,Prop_1dp_%_n,M,16,2019,2,0.4,
POP,Prop_1dp_%_n,M,16,2020,2,0.4,
POP,Prop_1dp_%_n,M,16,2021,2,0.3,
POP,Prop_1dp_%_n,M,16,2022,2,0.4,
POP,Prop_1dp_%_n,M,17,2000,2,0.7,
POP,Prop_1dp_%_n,M,17,2001,2,0.7,
POP,Prop_1dp_%_n,M,17,2002,2,0.7,
POP,Prop_1dp_%_n,M,17,2003,2,0.6,
POP,Prop_1dp_%_n,M,17,2004,2,0.6,
POP,Prop_1dp_%_n,M,17,2005,2,0.7,
POP,Prop_1dp_%_n,M,17,2006,2,0.7,
POP,Prop_1dp_%_n,M,17,2007,2,0.7,
POP,Prop_1dp_%_n,M,17,2008,2,0.6,
POP,Prop_1dp_%_n,M,17,2009,2,0.6,
POP,Prop_1dp_%_n,M,17,2010,2,0.6,
POP,Prop_1dp_%_n,M,17,2011,2,0.6,
POP,Prop_1dp_%_n,M,17,2012,2,0.6,
POP,Prop_1dp_%_n,M,17,2013,2,0.6,
POP,Prop_1dp_%_n,M,17,2014,2,0.6,
POP,Prop_1dp_%_n,M,17,2015,2,0.5,
POP,Prop_1dp_%_n,M,17,2016,2,0.4,
POP,Prop_1dp_%_n,M,17,2017,2,0.4,
POP,Prop_1dp_%_n,M,17,2018,2,0.3,
POP,Prop_1dp_%_n,M,17,2019,2,0.4,
POP,Prop_1dp_%_n,M,17,2020,2,0.4,
POP,Prop_1dp_%_n,M,17,2021,2,0.4,
POP,Prop_1dp_%_n,M,17,2022,2,0.3,
POP,Prop_1dp_%_n,M,18,2000,2,0.7,
POP,Prop_1dp_%_n,M,18,2001,2,0.7,
POP,Prop_1dp_%_n,M,18,2002,2,0.7,
POP,Prop_1dp_%_n,M,18,2003,2,0.7,
POP,Prop_1dp_%_n,M,18,2004,2,0.6,
POP,Prop_1dp_%_n,M,18,2005,2,0.6,
POP,Prop_1dp_%_n,M,18,2006,2,0.7,
POP,Prop_1dp_%_n,M,18,2007,2,0.7,
POP,Prop_1dp_%_n,M,18,2008,2,0.7,
POP,Prop_1dp_%_n,M,18,2009,2,0.6,
POP,Prop_1dp_%_n,M,18,2010,2,0.6,
POP,Prop_1dp_%_n,M,18,2011,2,0.6,
POP,Prop_1dp_%_n,M,18,2012,2,0.6,
POP,Prop_1dp_%_n,M,18,2013,2,0.6,
POP,Prop_1dp_%_n,M,18,2014,2,0.6,
POP,Prop_1dp_%_n,M,18,2015,2,0.6,
POP,Prop_1dp_%_n,M,18,2016,2,0.5,
POP,Prop_1dp_%_n,M,18,2017,2,0.4,
POP,Prop_1dp_%_n,M,18,2018,2,0.4,
POP,Prop_1dp_%_n,M,18,2019,2,0.4,
POP,Prop_1dp_%_n,M,18,2020,2,0.4,
POP,Prop_1dp_%_n,M,18,2021,2,0.4,
POP,Prop_1dp_%_n,M,18,2022,2,0.4,
POP,Prop_1dp_%_n,M,19,2000,2,0.7,
POP,Prop_1dp_%_n,M,19,2001,2,0.7,
POP,Prop_1dp_%_n,M,19,2002,2,0.7,
POP,Prop_1dp_%_n,M,19,2003,2,0.7,
POP,Prop_1dp_%_n,M,19,2004,2,0.7,
POP,Prop_1dp_%_n,M,19,2005,2,0.6,
POP,Prop_1dp_%_n,M,19,2006,2,0.6,
POP,Prop_1dp_%_n,M,19,2007,2,0.7,
POP,Prop_1dp_%_n,M,19,2008,2,0.7,
POP,Prop_1dp_%_n,M,19,2009,2,0.7,
POP,Prop_1dp_%_n,M,19,2010,2,0.6,
POP,Prop_1dp_%_n,M,19,2011,2,0.6,
POP,Prop_1dp_%_n,M,19,2012,2,0.6,
POP,Prop_1dp_%_n,M,19,2013,2,0.6,
POP,Prop_1dp_%_n,M,19,2014,2,0.6,
POP,Prop_1dp_%_n,M,19,2015,2,0.6,
POP,Prop_1dp_%_n,M,19,2016,2,0.6,
POP,Prop_1dp_%_n,M,19,2017,2,0.5,
POP,Prop_1dp_%_n,M,19,2018,2,0.4,
POP,Prop_1dp_%_n,M,19,2019,2,0.4,
POP,Prop_1dp_%_n,M,19,2020,2,0.3,
POP,Prop_1dp_%_n,M,19,2021,2,0.4,
POP,Prop_1dp_%_n,M,19,2022,2,0.4,
POP,Prop_1dp_%_n,M,20,2000,2,0.7,
POP,Prop_1dp_%_n,M,20,2001,2,0.7,
POP,Prop_1dp_%_n,M,20,2002,2,0.7,
POP,Prop_1dp_%_n,M,20,2003,2,0.7,
POP,Prop_1dp_%_n,M,20,2004,2,0.7,
POP,Prop_1dp_%_n,M,20,2005,2,0.7,
POP,Prop_1dp_%_n,M,20,2006,2,0.6,
POP,Prop_1dp_%_n,M,20,2007,2,0.6,
POP,Prop_1dp_%_n,M,20,2008,2,0.7,
POP,Prop_1dp_%_n,M,20,2009,2,0.6,
POP,Prop_1dp_%_n,M,20,2010,2,0.7,
POP,Prop_1dp_%_n,M,20,2011,2,0.6,
POP,Prop_1dp_%_n,M,20,2012,2,0.6,
